class,raw_relative_path,error_type,error
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_526.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_526.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_527.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_527.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_528.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_528.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_529.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_529.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_530.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_530.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_531.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_531.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_532.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_532.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_533.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_533.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_534.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_534.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_535.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_535.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_536.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_536.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_537.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_537.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_538.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_538.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_539.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_539.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_540.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_540.jpg'
leaf_rust,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/leaf rust/1200_43.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/leaf rust/1200_43.jpg'
leaf_rust,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/leaf rust/1200_44.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/leaf rust/1200_44.jpg'
